"Name","Key","Section","Italian","English","German","French","Notes","Status","Ready to sync"
"Metadata.title","Metadata.title","Metadata","The Ranco Bay — Soggiorni sul Lago Maggiore","","","","AUDIT IT — 2026-09-03 | pagina: trasversale | sezione: Metadata | tipo: titolo SEO
Italiano attuale (repository prima del pass): ""The Ranco Bay — Soggiorni sul Lago Maggiore""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81119387e0a1114f19f2
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Metadata.description","Metadata.description","Metadata","Un soggiorno tranquillo e curato dai proprietari a Ranco, sul Lago Maggiore.","","","","AUDIT IT — 2026-09-03 | pagina: trasversale | sezione: Metadata | tipo: testo
Italiano attuale (repository prima del pass): ""Un soggiorno tranquillo e curato dai proprietari a Ranco, sul Lago Maggiore.""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81208ee5de6ab96ca548
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Metadata.openGraphTitle","Metadata.openGraphTitle","Metadata","The Ranco Bay","","","","AUDIT IT — 2026-09-03 | pagina: trasversale | sezione: Metadata | tipo: etichetta
Italiano attuale (repository prima del pass): ""The Ranco Bay""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Verifica browser (font/layout originali): /it 390px: 2 righe; /it 834px: 1 righe; /it 1024px: 1 righe; /it 1366px: 1 righe; /it 1440px: 1 righe; /it 1680px: 1 righe; /it 1920px: 1 righe; /it 2560px: 1 righe.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81b18cd4f7214f07d8f1
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Metadata.openGraphDescription","Metadata.openGraphDescription","Metadata","Una casa sul lago e una guida locale per soggiorni consapevoli a Ranco.","","","","AUDIT IT — 2026-09-03 | pagina: trasversale | sezione: Metadata | tipo: testo
Italiano attuale (repository prima del pass): ""Una casa sul lago e una guida locale per soggiorni consapevoli a Ranco.""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Revisione facoltativa: «soggiorni consapevoli» è astratto; Manu può valutare «Una casa sul lago e consigli locali per il tuo soggiorno a Ranco». Non applicato: metadato conservato.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff8196b000d0c56d616cc3
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Metadata.pages.house.title","Metadata.pages.house.title","Metadata","La casa — The Ranco Bay","","","","AUDIT IT — 2026-09-03 | pagina: trasversale | sezione: Metadata.pages.house | tipo: titolo SEO
Italiano attuale (repository prima del pass): ""La casa — The Ranco Bay""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff8159ac2ae8af114bb3a8
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Metadata.pages.house.description","Metadata.pages.house.description","Metadata","Scopri la casa, gli spazi affacciati sul lago, la spiaggia privata e le informazioni pratiche.","","","","AUDIT IT — 2026-09-03 | pagina: trasversale | sezione: Metadata.pages.house | tipo: testo
Italiano attuale (repository prima del pass): ""Scopri la casa, gli spazi affacciati sul lago, la spiaggia privata e le informazioni pratiche.""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81088475cffe647a02b3
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Metadata.pages.guide.title","Metadata.pages.guide.title","Metadata","Guida locale — The Ranco Bay","","","","AUDIT IT — 2026-09-03 | pagina: trasversale | sezione: Metadata.pages.guide | tipo: titolo SEO
Italiano attuale (repository prima del pass): ""Guida locale — The Ranco Bay""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81849d2ee2393afc3341
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Metadata.pages.guide.description","Metadata.pages.guide.description","Metadata","Una guida locale per mangiare, esplorare e vivere il Lago Maggiore.","","","","AUDIT IT — 2026-09-03 | pagina: trasversale | sezione: Metadata.pages.guide | tipo: testo
Italiano attuale (repository prima del pass): ""Una guida locale per mangiare, esplorare e vivere il Lago Maggiore.""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81899ff9e40038aed405
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Metadata.pages.contact.title","Metadata.pages.contact.title","Metadata","Contatti — The Ranco Bay","","","","AUDIT IT — 2026-09-03 | pagina: trasversale | sezione: Metadata.pages.contact | tipo: titolo SEO
Italiano attuale (repository prima del pass): ""Contatti — The Ranco Bay""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff8138b022c499529b5434
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Metadata.pages.contact.description","Metadata.pages.contact.description","Metadata","Invia una richiesta e trova le informazioni pratiche per raggiungere The Ranco Bay.","","","","AUDIT IT — 2026-09-03 | pagina: trasversale | sezione: Metadata.pages.contact | tipo: testo
Italiano attuale (repository prima del pass): ""Invia una richiesta e trova le informazioni pratiche per raggiungere The Ranco Bay.""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff814eac38f0c31637b66f
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
